EmployeeID,Department,Role
E001,HR,Specialist
E002,Sales,Manager
E003,Tech,Engineer
E004,Tech,Analyst
E005,Finance,Manager
E006,Finance,Specialist
E007,Tech,Manager
E008,Sales,Coordinator
E009,Tech,Specialist
E010,Tech,Engineer
E011,Sales,Manager
E012,Finance,Manager
E013,Ops,Engineer
E014,Tech,Engineer
E015,Finance,Coordinator
E016,Tech,Specialist
E017,Tech,Engineer
E018,Ops,Analyst
E019,Sales,Specialist
E020,Finance,Manager
E021,Finance,Analyst
E022,Finance,Specialist
E023,Tech,Engineer
E024,Finance,Specialist
E025,HR,Manager
E026,Finance,Manager
E027,Finance,Manager
E028,Finance,Specialist
E029,Sales,Engineer
E030,Sales,Analyst
E031,Sales,Engineer
E032,Sales,Analyst
E033,HR,Specialist
E034,Ops,Specialist
E035,Tech,Engineer
E036,HR,Engineer
E037,Sales,Analyst
E038,Sales,Analyst
E039,Finance,Manager
E040,Tech,Engineer
E041,Sales,Specialist
E042,HR,Specialist
E043,Sales,Coordinator
E044,Tech,Manager
E045,Finance,Engineer
E046,HR,Analyst
E047,HR,Engineer
E048,Sales,Engineer
E049,Sales,Manager
E050,Tech,Analyst
E051,Sales,Manager
E052,Tech,Analyst
E053,Finance,Coordinator
E054,HR,Coordinator
E055,HR,Manager
E056,Sales,Analyst
E057,Ops,Engineer
E058,Tech,Coordinator
E059,Tech,Specialist
E060,HR,Specialist
E061,Ops,Coordinator
E062,Sales,Coordinator
E063,Tech,Specialist
E064,Sales,Coordinator
E065,Finance,Analyst
E066,Ops,Coordinator
E067,Finance,Analyst
E068,Sales,Analyst
E069,Sales,Specialist
E070,Ops,Manager
E071,Ops,Specialist
E072,Ops,Specialist
E073,Tech,Coordinator
E074,Finance,Specialist
E075,HR,Analyst
E076,Tech,Specialist
E077,Sales,Engineer
E078,HR,Engineer
E079,Finance,Analyst
E080,Ops,Engineer
E081,Finance,Manager
E082,Sales,Engineer
E083,Sales,Coordinator
E084,Sales,Coordinator
E085,Tech,Coordinator
E086,Sales,Manager
E087,Ops,Manager
E088,Ops,Coordinator
E089,Ops,Manager
E090,HR,Engineer
E091,Tech,Manager
E092,Tech,Engineer
E093,Ops,Engineer
E094,Tech,Analyst
E095,Finance,Manager
E096,Tech,Specialist
E097,Finance,Coordinator
E098,Ops,Analyst
E099,HR,Engineer
E100,HR,Coordinator
